;;                            -*-Lisp-*-
;;   
;; Downloaded from
;; http://en.wikipedia.org/wiki/Demographic_history_of_the_United_States#Historical_population
;; on December 15, 2012.  The Wikipedia page does not give any
;; references for this data
;;
;;
1610 	3800
1620 	4100
1630 	4600
1640 	 ?
1650 	50400
1660 	 ?
1670 	111900
1680 	 ?
1690 	210400
1700 	250900
1710 	 ?
1720 	466200
1730 	 ?
1740 	905600
1750 	1170800
1760 	 ?
1770 	2148100
1780 	2780400
1790 	3929214
1800 	5308483
1810 	7239881
1820 	9638453
1830 	12866020
1840 	17069453
1850 	23191876
1860 	31443321
1870 	38558371
1880 	50189209
1890 	62979766
1900 	76212168
1910 	92228496
1920 	106021537
1930 	123202624
1940 	132164569
1950 	151325798
1960 	179323175
1970 	203211926
1980 	226545805
1990 	248709873
2000 	281421906
2010 	308745538
