;; ftp://ftp.ngdc.noaa.gov/STP/SOLAR_DATA/SUNSPOT_NUMBERS/GROUP_SUNSPOT_NUMBERS/yearrg.dat
  1610   36.0
  1611   34.1
  1612   92.7
  1613  109.6
  1614  121.0
  1615   80.3
  1616   20.1
  1617    2.3
  1618    1.3
  1619   15.0
  1620   15.0
  1621   15.0
  1622   15.0
  1623   15.0
  1624    9.6
  1625   42.4
  1626   26.6
  1627   16.5
  1628   23.2
  1629   18.7
  1630     .0
  1631    4.4
  1632     .0
  1633   14.3
  1634    3.0
  1635    4.3
  1636     .0
  1637     .0
  1638   68.6
  1639   76.8
  1640   15.0
  1641     .0
  1642   47.4
  1643   17.6
  1644   11.6
  1645     .0
  1646     .0
  1647     .0
  1648     .0
  1649     .0
  1650     .0
  1651     .0
  1652    4.0
  1653     .9
  1654     .7
  1655     .5
  1656     .6
  1657     .2
  1658     .0
  1659     .0
  1660    2.0
  1661     .8
  1662     .0
  1663     .0
  1664     .0
  1665     .0
  1666     .0
  1667     .0
  1668     .0
  1669     .0
  1670     .0
  1671     .9
  1672     .4
  1673     .0
  1674     .2
  1675     .0
  1676    1.8
  1677     .3
  1678     .2
  1679     .0
  1680     .8
  1681     .0
  1682     .0
  1683     .0
  1684    1.4
  1685     .0
  1686     .6
  1687     .1
  1688     .5
  1689     .2
  1690     .0
  1691     .0
  1692     .0
  1693     .0
  1694     .0
  1695     .1
  1696     .0
  1697     .0
  1698     .0
  1699     .0
  1700     .4
  1701     .5
  1702     .6
  1703    2.7
  1704    4.1
  1705    5.5
  1706    3.2
  1707    5.3
  1708    2.8
  1709    1.6
  1710     .4
  1711     .0
  1712     .0
  1713     .3
  1714     .9
  1715    3.6
  1716    9.1
  1717   17.5
  1718    9.0
  1719   33.9
  1720   23.4
  1721   21.4
  1722   11.0
  1723    4.4
  1724   15.6
  1725   12.8
  1726   36.2
  1727   36.5
  1728   64.2
  1729   24.0
  1730   69.7
  1731     .0
  1732   18.0
  1733     .0
  1734     .0
  1735   18.3
  1736   48.6
  1737   24.0
  1738   17.0
  1739   52.5
  1740    9.3
  1741   57.7
  1742   16.1
  1743    8.3
  1744     .0
  1745     .0
  1746     .0
  1747     .0
  1748   61.0
  1749   63.2
  1750   58.0
  1751   33.7
  1752   29.0
  1753   23.9
  1754    8.8
  1755    4.7
  1756    7.3
  1757   24.8
  1758   40.7
  1759   49.5
  1760   45.5
  1761   68.5
  1762   46.2
  1763   34.2
  1764   30.5
  1765    8.4
  1766    3.7
  1767   33.9
  1768   71.3
  1769   98.5
  1770   97.6
  1771   79.4
  1772   66.2
  1773   32.4
  1774   25.8
  1775    5.6
  1776   14.1
  1777   38.3
  1778   72.0
  1779   80.8
  1780   55.0
  1781   71.1
  1782   32.9
  1783   21.1
  1784    4.8
  1785   16.0
  1786   63.3
  1787   89.2
  1788   82.5
  1789   79.7
  1790   65.1
  1791   43.2
  1792   42.0
  1793   41.0
  1794   30.2
  1795   15.7
  1796   13.7
  1797    7.7
  1798    4.7
  1799    5.6
  1800   11.0
  1801   51.1
  1802   35.3
  1803   18.5
  1804   21.6
  1805   25.6
  1806   13.3
  1807    5.0
  1808    3.5
  1809    1.2
  1810     .0
  1811     .3
  1812    4.0
  1813    9.1
  1814   10.4
  1815   16.8
  1816   30.8
  1817   28.0
  1818   21.7
  1819   19.2
  1820   10.7
  1821    4.3
  1822    3.0
  1823    1.2
  1824    5.1
  1825   14.4
  1826   28.6
  1827   44.4
